Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaFork,2,1,1,1146
mmClasicaFork,2,1,2,376
mmClasicaFork,2,1,3,482
mmClasicaFork,2,1,4,454
mmClasicaFork,2,1,5,443
mmClasicaFork,2,1,6,481
mmClasicaFork,2,1,7,352
mmClasicaFork,2,1,8,329
mmClasicaFork,2,1,9,732
mmClasicaFork,2,1,10,293
mmClasicaFork,2,1,11,419
mmClasicaFork,2,1,12,698
mmClasicaFork,2,1,13,314
mmClasicaFork,2,1,14,384
mmClasicaFork,2,1,15,340
mmClasicaFork,2,1,16,356
mmClasicaFork,2,1,17,585
mmClasicaFork,2,1,18,631
mmClasicaFork,2,1,19,368
mmClasicaFork,2,1,20,307
mmClasicaFork,2,1,21,346
mmClasicaFork,2,1,22,281
mmClasicaFork,2,1,23,338
mmClasicaFork,2,1,24,283
mmClasicaFork,2,1,25,281
mmClasicaFork,2,1,26,276
mmClasicaFork,2,1,27,269
mmClasicaFork,2,1,28,334
mmClasicaFork,2,1,29,301
mmClasicaFork,2,1,30,306
mmClasicaFork,2,2,1,359
mmClasicaFork,2,2,2,370
mmClasicaFork,2,2,3,349
mmClasicaFork,2,2,4,392
mmClasicaFork,2,2,5,943
mmClasicaFork,2,2,6,416
mmClasicaFork,2,2,7,366
mmClasicaFork,2,2,8,359
mmClasicaFork,2,2,9,376
mmClasicaFork,2,2,10,376
mmClasicaFork,2,2,11,347
mmClasicaFork,2,2,12,378
mmClasicaFork,2,2,13,453
mmClasicaFork,2,2,14,412
mmClasicaFork,2,2,15,393
mmClasicaFork,2,2,16,399
mmClasicaFork,2,2,17,327
mmClasicaFork,2,2,18,397
mmClasicaFork,2,2,19,410
mmClasicaFork,2,2,20,431
mmClasicaFork,2,2,21,613
mmClasicaFork,2,2,22,405
mmClasicaFork,2,2,23,401
mmClasicaFork,2,2,24,443
mmClasicaFork,2,2,25,454
mmClasicaFork,2,2,26,438
mmClasicaFork,2,2,27,392
mmClasicaFork,2,2,28,398
mmClasicaFork,2,2,29,795
mmClasicaFork,2,2,30,380
mmClasicaFork,2,4,1,496
mmClasicaFork,2,4,2,554
mmClasicaFork,2,4,3,653
mmClasicaFork,2,4,4,510
mmClasicaFork,2,4,5,546
mmClasicaFork,2,4,6,1025
mmClasicaFork,2,4,7,2406
mmClasicaFork,2,4,8,1022
mmClasicaFork,2,4,9,854
mmClasicaFork,2,4,10,2101
mmClasicaFork,2,4,11,722
mmClasicaFork,2,4,12,864
mmClasicaFork,2,4,13,695
mmClasicaFork,2,4,14,642
mmClasicaFork,2,4,15,603
mmClasicaFork,2,4,16,720
mmClasicaFork,2,4,17,567
mmClasicaFork,2,4,18,688
mmClasicaFork,2,4,19,542
mmClasicaFork,2,4,20,486
mmClasicaFork,2,4,21,616
mmClasicaFork,2,4,22,1511
mmClasicaFork,2,4,23,1374
mmClasicaFork,2,4,24,813
mmClasicaFork,2,4,25,1010
mmClasicaFork,2,4,26,990
mmClasicaFork,2,4,27,1054
mmClasicaFork,2,4,28,557
mmClasicaFork,2,4,29,561
mmClasicaFork,2,4,30,577
mmClasicaFork,2,8,1,1038
mmClasicaFork,2,8,2,1588
mmClasicaFork,2,8,3,1243
mmClasicaFork,2,8,4,1333
mmClasicaFork,2,8,5,1480
mmClasicaFork,2,8,6,2377
mmClasicaFork,2,8,7,1041
mmClasicaFork,2,8,8,1405
mmClasicaFork,2,8,9,2214
mmClasicaFork,2,8,10,1917
mmClasicaFork,2,8,11,1057
mmClasicaFork,2,8,12,1315
mmClasicaFork,2,8,13,1331
mmClasicaFork,2,8,14,1590
mmClasicaFork,2,8,15,1050
mmClasicaFork,2,8,16,931
mmClasicaFork,2,8,17,975
mmClasicaFork,2,8,18,879
mmClasicaFork,2,8,19,864
mmClasicaFork,2,8,20,948
mmClasicaFork,2,8,21,1021
mmClasicaFork,2,8,22,985
mmClasicaFork,2,8,23,935
mmClasicaFork,2,8,24,1183
mmClasicaFork,2,8,25,1542
mmClasicaFork,2,8,26,1166
mmClasicaFork,2,8,27,1224
mmClasicaFork,2,8,28,1409
mmClasicaFork,2,8,29,2763
mmClasicaFork,2,8,30,1405
mmClasicaFork,3,1,1,771
mmClasicaFork,3,1,2,300
mmClasicaFork,3,1,3,383
mmClasicaFork,3,1,4,270
mmClasicaFork,3,1,5,374
mmClasicaFork,3,1,6,283
mmClasicaFork,3,1,7,402
mmClasicaFork,3,1,8,224
mmClasicaFork,3,1,9,369
mmClasicaFork,3,1,10,606
mmClasicaFork,3,1,11,624
mmClasicaFork,3,1,12,305
mmClasicaFork,3,1,13,261
mmClasicaFork,3,1,14,231
mmClasicaFork,3,1,15,648
mmClasicaFork,3,1,16,298
mmClasicaFork,3,1,17,245
mmClasicaFork,3,1,18,304
mmClasicaFork,3,1,19,300
mmClasicaFork,3,1,20,259
mmClasicaFork,3,1,21,279
mmClasicaFork,3,1,22,290
mmClasicaFork,3,1,23,287
mmClasicaFork,3,1,24,308
mmClasicaFork,3,1,25,290
mmClasicaFork,3,1,26,315
mmClasicaFork,3,1,27,298
mmClasicaFork,3,1,28,298
mmClasicaFork,3,1,29,293
mmClasicaFork,3,1,30,275
mmClasicaFork,3,2,1,414
mmClasicaFork,3,2,2,359
