Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmFilasOpenMP,2,1,1,3
mmFilasOpenMP,2,1,2,3
mmFilasOpenMP,2,1,3,2
mmFilasOpenMP,2,1,4,2
mmFilasOpenMP,2,1,5,4
mmFilasOpenMP,2,1,6,4
mmFilasOpenMP,2,1,7,4
mmFilasOpenMP,2,1,8,4
mmFilasOpenMP,2,1,9,5
mmFilasOpenMP,2,1,10,2
mmFilasOpenMP,2,1,11,2
mmFilasOpenMP,2,1,12,3
mmFilasOpenMP,2,1,13,7
mmFilasOpenMP,2,1,14,7
mmFilasOpenMP,2,1,15,2
mmFilasOpenMP,2,1,16,3
mmFilasOpenMP,2,1,17,3
mmFilasOpenMP,2,1,18,2
mmFilasOpenMP,2,1,19,2
mmFilasOpenMP,2,1,20,5
mmFilasOpenMP,2,1,21,3
mmFilasOpenMP,2,1,22,3
mmFilasOpenMP,2,1,23,3
mmFilasOpenMP,2,1,24,3
mmFilasOpenMP,2,1,25,2
mmFilasOpenMP,2,1,26,14
mmFilasOpenMP,2,1,27,5
mmFilasOpenMP,2,1,28,2
mmFilasOpenMP,2,1,29,3
mmFilasOpenMP,2,1,30,3
mmFilasOpenMP,2,2,1,54
mmFilasOpenMP,2,2,2,53
mmFilasOpenMP,2,2,3,48
mmFilasOpenMP,2,2,4,53
mmFilasOpenMP,2,2,5,131
mmFilasOpenMP,2,2,6,8965
mmFilasOpenMP,2,2,7,54
mmFilasOpenMP,2,2,8,126
mmFilasOpenMP,2,2,9,53
mmFilasOpenMP,2,2,10,1569
mmFilasOpenMP,2,2,11,55
mmFilasOpenMP,2,2,12,77
mmFilasOpenMP,2,2,13,49
mmFilasOpenMP,2,2,14,48
mmFilasOpenMP,2,2,15,48
mmFilasOpenMP,2,2,16,55
mmFilasOpenMP,2,2,17,53
mmFilasOpenMP,2,2,18,54
mmFilasOpenMP,2,2,19,50
mmFilasOpenMP,2,2,20,46
mmFilasOpenMP,2,2,21,53
mmFilasOpenMP,2,2,22,50
mmFilasOpenMP,2,2,23,49
mmFilasOpenMP,2,2,24,50
mmFilasOpenMP,2,2,25,45
mmFilasOpenMP,2,2,26,45
mmFilasOpenMP,2,2,27,47
mmFilasOpenMP,2,2,28,71
mmFilasOpenMP,2,2,29,47
mmFilasOpenMP,2,2,30,52
mmFilasOpenMP,2,4,1,194
mmFilasOpenMP,2,4,2,111
mmFilasOpenMP,2,4,3,2334
mmFilasOpenMP,2,4,4,3136
mmFilasOpenMP,2,4,5,4128
mmFilasOpenMP,2,4,6,3537
mmFilasOpenMP,2,4,7,4904
mmFilasOpenMP,2,4,8,3430
mmFilasOpenMP,2,4,9,3175
mmFilasOpenMP,2,4,10,550
mmFilasOpenMP,2,4,11,3263
mmFilasOpenMP,2,4,12,2359
mmFilasOpenMP,2,4,13,2902
mmFilasOpenMP,2,4,14,109
mmFilasOpenMP,2,4,15,107
mmFilasOpenMP,2,4,16,479
mmFilasOpenMP,2,4,17,107
mmFilasOpenMP,2,4,18,110
mmFilasOpenMP,2,4,19,109
mmFilasOpenMP,2,4,20,119
mmFilasOpenMP,2,4,21,207
mmFilasOpenMP,2,4,22,133
mmFilasOpenMP,2,4,23,106
mmFilasOpenMP,2,4,24,1496
mmFilasOpenMP,2,4,25,116
mmFilasOpenMP,2,4,26,128
mmFilasOpenMP,2,4,27,2212
mmFilasOpenMP,2,4,28,3135
mmFilasOpenMP,2,4,29,146
mmFilasOpenMP,2,4,30,143
mmFilasOpenMP,2,8,1,307
mmFilasOpenMP,2,8,2,386
mmFilasOpenMP,2,8,3,286
mmFilasOpenMP,2,8,4,270
mmFilasOpenMP,2,8,5,335
mmFilasOpenMP,2,8,6,497
mmFilasOpenMP,2,8,7,938
mmFilasOpenMP,2,8,8,561
mmFilasOpenMP,2,8,9,461
mmFilasOpenMP,2,8,10,877
mmFilasOpenMP,2,8,11,265
mmFilasOpenMP,2,8,12,286
mmFilasOpenMP,2,8,13,320
mmFilasOpenMP,2,8,14,256
mmFilasOpenMP,2,8,15,293
mmFilasOpenMP,2,8,16,289
mmFilasOpenMP,2,8,17,258
mmFilasOpenMP,2,8,18,277
mmFilasOpenMP,2,8,19,352
mmFilasOpenMP,2,8,20,279
mmFilasOpenMP,2,8,21,252
mmFilasOpenMP,2,8,22,259
mmFilasOpenMP,2,8,23,1332
mmFilasOpenMP,2,8,24,809
mmFilasOpenMP,2,8,25,256
mmFilasOpenMP,2,8,26,257
mmFilasOpenMP,2,8,27,302
mmFilasOpenMP,2,8,28,210
mmFilasOpenMP,2,8,29,380
mmFilasOpenMP,2,8,30,292
mmFilasOpenMP,3,1,1,2
mmFilasOpenMP,3,1,2,8
mmFilasOpenMP,3,1,3,2
mmFilasOpenMP,3,1,4,3
mmFilasOpenMP,3,1,5,5
mmFilasOpenMP,3,1,6,10
mmFilasOpenMP,3,1,7,3
mmFilasOpenMP,3,1,8,3
mmFilasOpenMP,3,1,9,2
mmFilasOpenMP,3,1,10,3
mmFilasOpenMP,3,1,11,2
mmFilasOpenMP,3,1,12,4
mmFilasOpenMP,3,1,13,2
mmFilasOpenMP,3,1,14,5
mmFilasOpenMP,3,1,15,6
mmFilasOpenMP,3,1,16,4
mmFilasOpenMP,3,1,17,5
mmFilasOpenMP,3,1,18,3
mmFilasOpenMP,3,1,19,3
mmFilasOpenMP,3,1,20,2
mmFilasOpenMP,3,1,21,2
mmFilasOpenMP,3,1,22,2
mmFilasOpenMP,3,1,23,2
mmFilasOpenMP,3,1,24,3
mmFilasOpenMP,3,1,25,2
mmFilasOpenMP,3,1,26,3
mmFilasOpenMP,3,1,27,2
mmFilasOpenMP,3,1,28,2
mmFilasOpenMP,3,1,29,3
mmFilasOpenMP,3,1,30,3
mmFilasOpenMP,3,2,1,50
mmFilasOpenMP,3,2,2,51
mmFilasOpenMP,3,2,3,50
mmFilasOpenMP,3,2,4,51
mmFilasOpenMP,3,2,5,48
mmFilasOpenMP,3,2,6,51
mmFilasOpenMP,3,2,7,49
mmFilasOpenMP,3,2,8,52
mmFilasOpenMP,3,2,9,51
mmFilasOpenMP,3,2,10,51
mmFilasOpenMP,3,2,11,52
mmFilasOpenMP,3,2,12,46
mmFilasOpenMP,3,2,13,54
mmFilasOpenMP,3,2,14,54
mmFilasOpenMP,3,2,15,49
mmFilasOpenMP,3,2,16,52
mmFilasOpenMP,3,2,17,48
mmFilasOpenMP,3,2,18,118
mmFilasOpenMP,3,2,19,46
mmFilasOpenMP,3,2,20,50
mmFilasOpenMP,3,2,21,54
mmFilasOpenMP,3,2,22,50
mmFilasOpenMP,3,2,23,61
mmFilasOpenMP,3,2,24,46
mmFilasOpenMP,3,2,25,47
mmFilasOpenMP,3,2,26,49
mmFilasOpenMP,3,2,27,48
mmFilasOpenMP,3,2,28,50
mmFilasOpenMP,3,2,29,54
mmFilasOpenMP,3,2,30,56
mmFilasOpenMP,3,4,1,174
mmFilasOpenMP,3,4,2,1682
mmFilasOpenMP,3,4,3,723
mmFilasOpenMP,3,4,4,145
mmFilasOpenMP,3,4,5,102
mmFilasOpenMP,3,4,6,102
mmFilasOpenMP,3,4,7,102
mmFilasOpenMP,3,4,8,191
mmFilasOpenMP,3,4,9,3092
mmFilasOpenMP,3,4,10,4895
mmFilasOpenMP,3,4,11,2077
mmFilasOpenMP,3,4,12,114
mmFilasOpenMP,3,4,13,1255
mmFilasOpenMP,3,4,14,128
mmFilasOpenMP,3,4,15,106
mmFilasOpenMP,3,4,16,103
mmFilasOpenMP,3,4,17,100
mmFilasOpenMP,3,4,18,104
mmFilasOpenMP,3,4,19,102
mmFilasOpenMP,3,4,20,108
mmFilasOpenMP,3,4,21,144
mmFilasOpenMP,3,4,22,504
mmFilasOpenMP,3,4,23,98
mmFilasOpenMP,3,4,24,2306
mmFilasOpenMP,3,4,25,101
mmFilasOpenMP,3,4,26,118
mmFilasOpenMP,3,4,27,103
mmFilasOpenMP,3,4,28,138
mmFilasOpenMP,3,4,29,1075
mmFilasOpenMP,3,4,30,3156
mmFilasOpenMP,3,8,1,278
mmFilasOpenMP,3,8,2,258
mmFilasOpenMP,3,8,3,228
mmFilasOpenMP,3,8,4,907
mmFilasOpenMP,3,8,5,252
mmFilasOpenMP,3,8,6,379
mmFilasOpenMP,3,8,7,979
mmFilasOpenMP,3,8,8,404
mmFilasOpenMP,3,8,9,1143
mmFilasOpenMP,3,8,10,338
mmFilasOpenMP,3,8,11,798
mmFilasOpenMP,3,8,12,932
mmFilasOpenMP,3,8,13,336
mmFilasOpenMP,3,8,14,371
mmFilasOpenMP,3,8,15,479
mmFilasOpenMP,3,8,16,241
mmFilasOpenMP,3,8,17,306
mmFilasOpenMP,3,8,18,234
mmFilasOpenMP,3,8,19,244
mmFilasOpenMP,3,8,20,413
mmFilasOpenMP,3,8,21,262
mmFilasOpenMP,3,8,22,288
mmFilasOpenMP,3,8,23,301
mmFilasOpenMP,3,8,24,265
mmFilasOpenMP,3,8,25,239
mmFilasOpenMP,3,8,26,254
mmFilasOpenMP,3,8,27,473
mmFilasOpenMP,3,8,28,247
mmFilasOpenMP,3,8,29,304
mmFilasOpenMP,3,8,30,231
mmFilasOpenMP,4,1,1,3
mmFilasOpenMP,4,1,2,2
mmFilasOpenMP,4,1,3,2
mmFilasOpenMP,4,1,4,3
mmFilasOpenMP,4,1,5,5
mmFilasOpenMP,4,1,6,5
mmFilasOpenMP,4,1,7,2
mmFilasOpenMP,4,1,8,5
mmFilasOpenMP,4,1,9,3
mmFilasOpenMP,4,1,10,3
mmFilasOpenMP,4,1,11,2
mmFilasOpenMP,4,1,12,2
mmFilasOpenMP,4,1,13,2
mmFilasOpenMP,4,1,14,2
mmFilasOpenMP,4,1,15,3
mmFilasOpenMP,4,1,16,4
mmFilasOpenMP,4,1,17,2
mmFilasOpenMP,4,1,18,5
mmFilasOpenMP,4,1,19,3
mmFilasOpenMP,4,1,20,3
mmFilasOpenMP,4,1,21,3
mmFilasOpenMP,4,1,22,4
mmFilasOpenMP,4,1,23,3
mmFilasOpenMP,4,1,24,4
mmFilasOpenMP,4,1,25,3
mmFilasOpenMP,4,1,26,3
mmFilasOpenMP,4,1,27,3
mmFilasOpenMP,4,1,28,3
mmFilasOpenMP,4,1,29,3
mmFilasOpenMP,4,1,30,2
mmFilasOpenMP,4,2,1,56
mmFilasOpenMP,4,2,2,60
mmFilasOpenMP,4,2,3,84
mmFilasOpenMP,4,2,4,58
mmFilasOpenMP,4,2,5,77
mmFilasOpenMP,4,2,6,55
mmFilasOpenMP,4,2,7,85
mmFilasOpenMP,4,2,8,48
mmFilasOpenMP,4,2,9,89
mmFilasOpenMP,4,2,10,53
