Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaOpenMP,2,1,1,7
mmClasicaOpenMP,2,1,2,4
mmClasicaOpenMP,2,1,3,18
mmClasicaOpenMP,2,1,4,2
mmClasicaOpenMP,2,1,5,2
mmClasicaOpenMP,2,1,6,2
mmClasicaOpenMP,2,1,7,2
mmClasicaOpenMP,2,1,8,4
mmClasicaOpenMP,2,1,9,3
mmClasicaOpenMP,2,1,10,3
mmClasicaOpenMP,2,1,11,3
mmClasicaOpenMP,2,1,12,4
mmClasicaOpenMP,2,1,13,3
mmClasicaOpenMP,2,1,14,2
mmClasicaOpenMP,2,1,15,2
mmClasicaOpenMP,2,1,16,7
mmClasicaOpenMP,2,1,17,5
mmClasicaOpenMP,2,1,18,3
mmClasicaOpenMP,2,1,19,4
mmClasicaOpenMP,2,1,20,3
mmClasicaOpenMP,2,1,21,3
mmClasicaOpenMP,2,1,22,2
mmClasicaOpenMP,2,1,23,2
mmClasicaOpenMP,2,1,24,2
mmClasicaOpenMP,2,1,25,3
mmClasicaOpenMP,2,1,26,2
mmClasicaOpenMP,2,1,27,4
mmClasicaOpenMP,2,1,28,2
mmClasicaOpenMP,2,1,29,2
mmClasicaOpenMP,2,1,30,4
mmClasicaOpenMP,2,2,1,58
mmClasicaOpenMP,2,2,2,57
mmClasicaOpenMP,2,2,3,68
mmClasicaOpenMP,2,2,4,50
mmClasicaOpenMP,2,2,5,58
mmClasicaOpenMP,2,2,6,60
mmClasicaOpenMP,2,2,7,54
mmClasicaOpenMP,2,2,8,56
mmClasicaOpenMP,2,2,9,86
mmClasicaOpenMP,2,2,10,79
mmClasicaOpenMP,2,2,11,50
mmClasicaOpenMP,2,2,12,52
mmClasicaOpenMP,2,2,13,59
mmClasicaOpenMP,2,2,14,132
mmClasicaOpenMP,2,2,15,76
mmClasicaOpenMP,2,2,16,79
mmClasicaOpenMP,2,2,17,78
mmClasicaOpenMP,2,2,18,79
mmClasicaOpenMP,2,2,19,71
mmClasicaOpenMP,2,2,20,66
mmClasicaOpenMP,2,2,21,79
mmClasicaOpenMP,2,2,22,70
mmClasicaOpenMP,2,2,23,52
mmClasicaOpenMP,2,2,24,56
mmClasicaOpenMP,2,2,25,112
mmClasicaOpenMP,2,2,26,57
mmClasicaOpenMP,2,2,27,78
mmClasicaOpenMP,2,2,28,55
mmClasicaOpenMP,2,2,29,118
mmClasicaOpenMP,2,2,30,80
mmClasicaOpenMP,2,4,1,3265
mmClasicaOpenMP,2,4,2,3548
mmClasicaOpenMP,2,4,3,4679
mmClasicaOpenMP,2,4,4,6516
mmClasicaOpenMP,2,4,5,6436
mmClasicaOpenMP,2,4,6,2283
mmClasicaOpenMP,2,4,7,4772
mmClasicaOpenMP,2,4,8,4101
mmClasicaOpenMP,2,4,9,3181
mmClasicaOpenMP,2,4,10,127
mmClasicaOpenMP,2,4,11,150
mmClasicaOpenMP,2,4,12,166
mmClasicaOpenMP,2,4,13,138
mmClasicaOpenMP,2,4,14,108
mmClasicaOpenMP,2,4,15,112
mmClasicaOpenMP,2,4,16,129
mmClasicaOpenMP,2,4,17,115
mmClasicaOpenMP,2,4,18,105
mmClasicaOpenMP,2,4,19,117
mmClasicaOpenMP,2,4,20,975
mmClasicaOpenMP,2,4,21,109
mmClasicaOpenMP,2,4,22,274
mmClasicaOpenMP,2,4,23,2803
mmClasicaOpenMP,2,4,24,2327
mmClasicaOpenMP,2,4,25,153
mmClasicaOpenMP,2,4,26,524
mmClasicaOpenMP,2,4,27,3158
mmClasicaOpenMP,2,4,28,110
mmClasicaOpenMP,2,4,29,117
mmClasicaOpenMP,2,4,30,133
mmClasicaOpenMP,2,8,1,262
mmClasicaOpenMP,2,8,2,330
mmClasicaOpenMP,2,8,3,261
mmClasicaOpenMP,2,8,4,231
mmClasicaOpenMP,2,8,5,270
mmClasicaOpenMP,2,8,6,244
mmClasicaOpenMP,2,8,7,277
mmClasicaOpenMP,2,8,8,268
mmClasicaOpenMP,2,8,9,1167
mmClasicaOpenMP,2,8,10,310
mmClasicaOpenMP,2,8,11,315
mmClasicaOpenMP,2,8,12,347
mmClasicaOpenMP,2,8,13,279
mmClasicaOpenMP,2,8,14,246
mmClasicaOpenMP,2,8,15,315
mmClasicaOpenMP,2,8,16,233
mmClasicaOpenMP,2,8,17,287
mmClasicaOpenMP,2,8,18,264
mmClasicaOpenMP,2,8,19,330
mmClasicaOpenMP,2,8,20,606
mmClasicaOpenMP,2,8,21,269
mmClasicaOpenMP,2,8,22,544
mmClasicaOpenMP,2,8,23,1255
mmClasicaOpenMP,2,8,24,295
mmClasicaOpenMP,2,8,25,642
mmClasicaOpenMP,2,8,26,287
mmClasicaOpenMP,2,8,27,242
mmClasicaOpenMP,2,8,28,607
mmClasicaOpenMP,2,8,29,712
mmClasicaOpenMP,2,8,30,292
mmClasicaOpenMP,3,1,1,2
mmClasicaOpenMP,3,1,2,2
mmClasicaOpenMP,3,1,3,4
mmClasicaOpenMP,3,1,4,3
mmClasicaOpenMP,3,1,5,5
mmClasicaOpenMP,3,1,6,4
mmClasicaOpenMP,3,1,7,3
mmClasicaOpenMP,3,1,8,4
