Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaPosix,2,1,1,658
mmClasicaPosix,2,1,2,606
mmClasicaPosix,2,1,3,438
mmClasicaPosix,2,1,4,203
mmClasicaPosix,2,1,5,794
mmClasicaPosix,2,1,6,393
mmClasicaPosix,2,1,7,303
mmClasicaPosix,2,1,8,406
mmClasicaPosix,2,1,9,280
mmClasicaPosix,2,1,10,305
mmClasicaPosix,2,1,11,347
mmClasicaPosix,2,1,12,377
mmClasicaPosix,2,1,13,250
mmClasicaPosix,2,1,14,328
mmClasicaPosix,2,1,15,222
mmClasicaPosix,2,1,16,339
mmClasicaPosix,2,1,17,385
mmClasicaPosix,2,1,18,225
mmClasicaPosix,2,1,19,343
mmClasicaPosix,2,1,20,248
mmClasicaPosix,2,1,21,260
mmClasicaPosix,2,1,22,258
mmClasicaPosix,2,1,23,598
mmClasicaPosix,2,1,24,580
mmClasicaPosix,2,1,25,253
mmClasicaPosix,2,1,26,350
mmClasicaPosix,2,1,27,359
mmClasicaPosix,2,1,28,1650
mmClasicaPosix,2,1,29,285
mmClasicaPosix,2,1,30,248
mmClasicaPosix,2,2,1,261
mmClasicaPosix,2,2,2,683
mmClasicaPosix,2,2,3,246
mmClasicaPosix,2,2,4,266
mmClasicaPosix,2,2,5,232
mmClasicaPosix,2,2,6,264
mmClasicaPosix,2,2,7,269
mmClasicaPosix,2,2,8,243
mmClasicaPosix,2,2,9,275
mmClasicaPosix,2,2,10,245
mmClasicaPosix,2,2,11,1044
mmClasicaPosix,2,2,12,616
mmClasicaPosix,2,2,13,264
mmClasicaPosix,2,2,14,323
mmClasicaPosix,2,2,15,281
mmClasicaPosix,2,2,16,346
mmClasicaPosix,2,2,17,287
mmClasicaPosix,2,2,18,266
mmClasicaPosix,2,2,19,244
mmClasicaPosix,2,2,20,426
mmClasicaPosix,2,2,21,331
mmClasicaPosix,2,2,22,287
mmClasicaPosix,2,2,23,342
mmClasicaPosix,2,2,24,432
mmClasicaPosix,2,2,25,303
mmClasicaPosix,2,2,26,292
mmClasicaPosix,2,2,27,269
mmClasicaPosix,2,2,28,258
